CArea,CFFact,CPolar,NArea,NFFact,NPolar,NCCave,NCaveMaxPiece,ODR,ODG,ODB,NODR,NODG,NODB,Nucls,Segms,Holes,Tails,Nucleols,NuclDensBrd,NuclZDens,NuclEuFraq,NuclEuMeanDF,NuclEuFFDist,NuclEuFFChain,GrODR,GrODG,GrODB,GrODH,ODRCN,ODGCN,ODBCN,GrRODR,GrRODG,GrRODB,Type_real
126.4660560831,24.1848688069,0.6818181243,52.777780574,35.7467911972,0.8057242499,0.4692982456,0.8566978193,0.3841599223,0.6977020541,0.1083310339,0.7903407065,2.0035127483,0.2070420361,2.0,2.0,0.0,4.0,0.0,0.7206703424,0.6636871099,0.4668141603,0.3041074276,172.8957366943,334.7430419922,0.6737692952,1.3757400513,0.1303478032,67.0,0.4860687538178827,0.3482393883902196,0.5232320737402176,0.5701653741670833,0.5071467196442447,0.8310921338181785,artefacts
131.2500069539,27.8314971152,0.6586850717,53.0092620678,40.0052216649,0.7819880166,0.5633187773,0.8888888889,0.391292487,0.686036917,0.1082739752,0.7756076478,1.9845044695,0.1998059422,3.0,3.0,0.0,6.0,0.0,0.6842696667,0.6943820119,0.4591611624,0.3044871986,169.9230804443,328.3105773926,0.6862894297,1.3474971056,0.1081878766,65.0,0.5044979740850875,0.3456968364363767,0.5418956714091159,0.5701566570405245,0.5091193993285265,1.000795824843835,artefacts
134.9537108538,20.0697673379,0.0879364301,81.5586462964,69.6968331331,0.2091947869,0.4049195837,0.8107476636,0.3555497382,0.5870166564,0.1157154092,0.6237749635,1.4119570216,0.1606499796,2.0,5.0,0.0,4.0,0.0,0.7672861814,0.6959107518,0.4925816059,0.30036816,280.1957702637,615.2991333008,0.3555497527,0.5870166421,0.1157154068,63.0,0.5699968081517912,0.4157468304062153,0.7202952000872834,0.9999999592180844,1.0000000243604676,1.0000000207405395,artefacts
83.6419797402,17.2310226573,0.1253471635,52.3919780845,26.7659132709,0.2710479083,0.1237113402,0.3333333333,0.3146959827,0.4731206881,0.1272007037,0.569940855,1.2249010665,0.1769205997,1.0,2.0,0.0,2.0,0.0,0.6044036746,0.7001834512,0.4635761678,0.3029100597,173.7190551758,339.0533752441,0.432615906,1.0628942251,0.1923718005,74.0,0.5521555086623856,0.3862521643906169,0.7189705659809609,0.7274258258548635,0.4451249022972982,0.661223232144152,artefacts
83.6419797402,17.2310226573,0.1253471635,52.3919780845,26.7659132709,0.2710479083,0.1237113402,0.3333333333,0.3146959827,0.4731206881,0.1272007037,0.569940855,1.2249010665,0.1769205997,1.0,2.0,0.0,2.0,0.0,0.6044036746,0.7001834512,0.4635761678,0.3029100597,173.7190551758,339.0533752441,0.432615906,1.0628942251,0.1923718005,74.0,0.5521555086623856,0.3862521643906169,0.7189705659809609,0.7274258258548635,0.4451249022972982,0.661223232144152,artefacts
139.9691432183,21.5952937649,0.4348824517,62.3456823155,40.1732372977,0.5316547913,0.478960396,0.8708010336,0.2741458617,0.4902035123,0.1070864444,0.7138308566,1.4900353518,0.2099468262,2.0,2.0,0.0,4.0,0.0,0.6908257008,0.7376146317,0.4597069621,0.2999114692,212.5936279297,382.989074707,0.2741458714,0.4902034998,0.1070864424,67.0,0.3840487689279304,0.3289878402601803,0.5100646022530823,0.999999964617377,1.000000025499614,1.0000000186765006,artefacts
142.2067976578,22.2518532991,0.4516187152,61.4197563406,38.7293904339,0.5432580865,0.4798994975,0.8743455497,0.2797607282,0.4970648771,0.1103470222,0.7199248367,1.5000197631,0.2139360449,2.0,2.0,0.0,4.0,0.0,0.7149922848,0.7261205316,0.441988945,0.313657403,182.0041656494,326.2145080566,0.2898518145,0.5521239042,0.1614666432,72.0,0.3885971339485529,0.3313722187718021,0.5157944387145207,0.9651853609493272,0.9002777697521034,0.6834044482074177,artefacts
197.6851956589,32.6856462267,0.3222362716,88.1172886192,55.4854676004,0.7385463894,0.496497373,0.4938271605,0.3231512264,0.5918534765,0.1077454387,0.7719981811,2.0076091641,0.2075971455,3.0,4.0,0.0,6.0,0.0,0.749006629,0.7211920619,0.4706684947,0.3003220558,291.2724609375,527.8947143555,0.4713264704,0.6702959538,0.1157675385,57.0,0.418590657739051,0.2948051279519461,0.5190121397887911,0.6856207887618782,0.8829733689196558,0.9307051017587284,artefacts
97.5308693649,14.2535262114,0.2088433153,36.1111130243,13.1762305512,0.0801332131,0.0192307692,0.1111111111,0.3741400525,0.5026257574,0.1553800658,1.1998916188,1.5734378856,0.4081689493,1.0,1.0,0.0,2.0,0.0,0.4105263054,0.3203007579,0.4319526553,0.3367579877,92.1643829346,165.4873962402,0.5485659838,0.6916539073,0.1969738305,54.0,0.3118115391739913,0.3194442958314388,0.3806758599998189,0.6820329067950495,0.7267012476833875,0.7888360875431114,artefacts
468.5957038394,25.5495536233,0.6128882387,209.413591342,31.818954447,0.8003611972,0.4211495947,0.937007874,0.2359517185,0.4646283913,0.1188511498,0.6034156143,1.2068845535,0.252769625,2.0,2.0,0.0,4.0,0.0,0.4678180218,0.6118786931,0.439853549,0.3223675489,594.350769043,1066.5294189453,0.2359517217,0.4646283984,0.1188511476,71.0,0.3910268692229962,0.3849816371852339,0.4701955379330091,0.9999999864379036,0.9999999847189712,1.000000018510549,artefacts
81.5586462964,20.6220005029,0.6421985992,39.5833354305,53.9535201292,0.8138643537,0.3937621832,0.6287128713,0.2596487446,0.4888675428,0.111064667,0.6708871918,1.5336841099,0.2116526837,2.0,4.0,0.0,4.0,0.0,0.9220708609,0.6425067782,0.467948705,0.3044140041,119.3424682617,248.9597015381,0.2596487403,0.4888675511,0.111064665,69.0,0.3870229567259417,0.3187537379075247,0.5247496278262405,1.0000000165608351,0.9999999830219862,1.0000000180075277,artefacts
